namespace,class_name,term_local_name,datatype,compound_name
schema:,Address,addressCountry,string,Address.addressCountry
schema:,Address,addressLocality,string,Address.addressLocality
schema:,Address,addressRegion,string,Address.addressRegion
ltc:,Address,addressType,string,Address.addressType
ltc:,Address,hasIdentifier,array<ltc:Identifier>,Address.hasIdentifier
schema:,Address,postalCode,string,Address.postalCode
schema:,Address,postOfficeBoxNumber,string,Address.postOfficeBoxNumber
schema:,Address,streetAddress,string,Address.streetAddress
dwc:,ChronometricAge,chronometricAgeProtocol,string,ChronometricAge.chronometricAgeProtocol
dwc:,ChronometricAge,chronometricAgeRemarks,string,ChronometricAge.chronometricAgeRemarks
dwc:,ChronometricAge,chronometricAgeUncertaintyInYears,number,ChronometricAge.chronometricAgeUncertaintyInYears
dwc:,ChronometricAge,earliestChronometricAge,number,ChronometricAge.earliestChronometricAge
dwc:,ChronometricAge,earliestChronometricAgeReferenceSystem,string,ChronometricAge.earliestChronometricAgeReferenceSystem
ltc:,ChronometricAge,hasIdentifier,array<ltc:Identifier>,ChronometricAge.hasIdentifier
ltc:,ChronometricAge,hasMeasurementOrFact,array<ltc:MeasurementOrFact>,ChronometricAge.hasMeasurementOrFact
ltc:,ChronometricAge,hasReference,array<ltc:Reference>,ChronometricAge.hasReference
dwc:,ChronometricAge,latestChronometricAge,number,ChronometricAge.latestChronometricAge
dwc:,ChronometricAge,latestChronometricAgeReferenceSystem,string,ChronometricAge.latestChronometricAgeReferenceSystem
dwc:,ChronometricAge,verbatimChronometricAge,string,ChronometricAge.verbatimChronometricAge
ltc:,CollectionStatusHistory,hasIdentifier,array<ltc:Identifier>,CollectionStatusHistory.hasIdentifier
ltc:,CollectionStatusHistory,hasMeasurementOrFact,array<ltc:MeasurementOrFact>,CollectionStatusHistory.hasMeasurementOrFact
ltc:,CollectionStatusHistory,hasReference,array<ltc:Reference>,CollectionStatusHistory.hasReference
ltc:,CollectionStatusHistory,hasTemporalCoverage,array<ltc:TemporalCoverage>,CollectionStatusHistory.hasTemporalCoverage
ltc:,CollectionStatusHistory,status,string,CollectionStatusHistory.status
ltc:,CollectionStatusHistory,statusChangeReason,string,CollectionStatusHistory.statusChangeReason
ltc:,CollectionStatusHistory,statusType,string,CollectionStatusHistory.statusType
ltc:,ContactDetail,contactDetailCategory,string,ContactDetail.contactDetailCategory
ltc:,ContactDetail,contactDetailFunction,list,ContactDetail.contactDetailFunction
ltc:,ContactDetail,contactDetailValue,string,ContactDetail.contactDetailValue
ltc:,ContactDetail,hasIdentifier,array<ltc:Identifier>,ContactDetail.hasIdentifier
ltc:,EcologicalContext,biogeographicRealm,string,EcologicalContext.biogeographicRealm
ltc:,EcologicalContext,biome,string,EcologicalContext.biome
ltc:,EcologicalContext,biomeType,string,EcologicalContext.biomeType
ltc:,EcologicalContext,bioregion,string,EcologicalContext.bioregion
ltc:,EcologicalContext,ecoregion,string,EcologicalContext.ecoregion
ltc:,EcologicalContext,ecosystem,string,EcologicalContext.ecosystem
dwc:,EcologicalContext,habitat,string,EcologicalContext.habitat
ltc:,EcologicalContext,hasIdentifier,array<ltc:Identifier>,EcologicalContext.hasIdentifier
ltc:,EcologicalContext,hasMeasurementOrFact,array<ltc:MeasurementOrFact>,EcologicalContext.hasMeasurementOrFact
ltc:,EcologicalContext,hasReference,array<ltc:Reference>,EcologicalContext.hasReference
ltc:,Event,eventName,string,Event.eventName
ltc:,Event,hasEcologicalContext,array<ltc:EcologicalContext>,Event.hasEcologicalContext
ltc:,Event,hasGeographicContext,array<ltc:GeographicContext>,Event.hasGeographicContext
ltc:,Event,hasIdentifier,array<ltc:Identifier>,Event.hasIdentifier
ltc:,Event,hasMeasurementOrFact,array<ltc:MeasurementOrFact>,Event.hasMeasurementOrFact
ltc:,Event,hasParentEvent,array<ltc:Event>,Event.hasParentEvent
ltc:,Event,hasPersonRole,array<ltc:PersonRole>,Event.hasPersonRole
ltc:,Event,hasReference,array<ltc:Reference>,Event.hasReference
ltc:,Event,hasTemporalCoverage,array<ltc:TemporalCoverage>,Event.hasTemporalCoverage
dwc:,Event,samplingProtocol,list,Event.samplingProtocol
dwc:,Event,verbatimEventDate,string,Event.verbatimEventDate
dwc:,GeographicContext,continent,string,GeographicContext.continent
dwc:,GeographicContext,country,string,GeographicContext.country
dwc:,GeographicContext,countryCode,string,GeographicContext.countryCode
dwc:,GeographicContext,county,string,GeographicContext.county
ltc:,GeographicContext,hasIdentifier,array<ltc:Identifier>,GeographicContext.hasIdentifier
ltc:,GeographicContext,hasMeasurementOrFact,array<ltc:MeasurementOrFact>,GeographicContext.hasMeasurementOrFact
ltc:,GeographicContext,hasReference,array<ltc:Reference>,GeographicContext.hasReference
dwc:,GeographicContext,island,string,GeographicContext.island
dwc:,GeographicContext,islandGroup,string,GeographicContext.islandGroup
dwc:,GeographicContext,locality,string,GeographicContext.locality
dwc:,GeographicContext,municipality,string,GeographicContext.municipality
ltc:,GeographicContext,region,string,GeographicContext.region
dwc:,GeographicContext,stateProvince,string,GeographicContext.stateProvince
dwc:,GeographicContext,waterBody,string,GeographicContext.waterBody
ltc:,GeographicContext,waterBodyType,string,GeographicContext.waterBodyType
dwc:,GeologicalContext,bed,string,GeologicalContext.bed
dwc:,GeologicalContext,earliestAgeOrLowestStage,string,GeologicalContext.earliestAgeOrLowestStage
dwc:,GeologicalContext,earliestEonOrLowestEonothem,string,GeologicalContext.earliestEonOrLowestEonothem
dwc:,GeologicalContext,earliestEpochOrLowestSeries,string,GeologicalContext.earliestEpochOrLowestSeries
dwc:,GeologicalContext,earliestEraOrLowestErathem,string,GeologicalContext.earliestEraOrLowestErathem
dwc:,GeologicalContext,earliestPeriodOrLowestSystem,string,GeologicalContext.earliestPeriodOrLowestSystem
dwc:,GeologicalContext,formation,string,GeologicalContext.formation
dwc:,GeologicalContext,group,string,GeologicalContext.group
ltc:,GeologicalContext,hasIdentifier,array<ltc:Identifier>,GeologicalContext.hasIdentifier
