sssom_subject_id,sssom_subject_category,sssom_predicate_id,sssom_object_id,sssom_object_category,sssom_mapping_justification,sssom_author_id,sssom_author_label,sssom_creator_id,sssom_creator_label,sssom_subject_type,sssom_object_type,sssom_object_source,sssom_mapping_date,sssom_object_match_field,sssom_comment,semapv_regexRemoval,object_source_version,sssom_reviewer_id,sssom_reviewer_label,semapv_RegexRemoval,term_local_name
mids:PhysicalSpecimenID,mids0,skos:narrowMatch,abcd:UnitID,abcd:Unit,semapv:HumanCuration,orcid:0000-0002-0829-5849,David Fichtmueller,orcid:0000-0002-3973-1252,Mathias Dillen,rdf property,xpath,/DataSets/DataSet/Units/Unit/UnitID,2024-06-24,,,|unknown:undigitized|unknown|Unknown,http://www.tdwg.org/schemas/abcd/2.06,,,,PhysicalSpecimenID
mids:PhysicalSpecimenID,mids0,skos:narrowMatch,abcd:UnitGUID,abcd:Unit,semapv:HumanCuration,orcid:0000-0002-0829-5849,David Fichtmueller,orcid:0000-0002-3973-1253,Mathias Dillen,rdf property,xpath,/DataSets/DataSet/Units/Unit/UnitGUID,2024-06-24,,,|unknown:undigitized|unknown|Unknown,http://www.tdwg.org/schemas/abcd/2.06,,,,PhysicalSpecimenID
mids:Organization,mids0,skos:narrowMatch,abcd:SourceInstitutionID,abcd:Unit,semapv:HumanCuration,orcid:0000-0002-0829-5849,David Fichtmueller,orcid:0000-0002-3973-1254,Mathias Dillen,rdf property,xpath,/DataSets/DataSet/Units/Unit/SourceInstitutionID,2024-06-24,,,|unknown:undigitized|unknown|Unknown,http://www.tdwg.org/schemas/abcd/2.06,,,,Organization
mids:Organization,mids0,skos:narrowMatch,abcd:Unit-Owner-OrganisationGUID,abcd:Unit,semapv:HumanCuration,orcid:0000-0002-0829-5849,David Fichtmueller,orcid:0000-0002-3973-1255,Mathias Dillen,rdf property,xpath,/DataSets/DataSet/Units/Unit/Owner/Organisation/OrganisationGUID,2024-06-24,,,|unknown:undigitized|unknown|Unknown,http://www.tdwg.org/schemas/abcd/2.06,,,,Organization
mids:Organization,mids0,skos:narrowMatch,abcd:DataSet-Owner-OrganisationGUID,abcd:DataSet,semapv:HumanCuration,orcid:0000-0002-0829-5849,David Fichtmueller,orcid:0000-0002-3973-1256,Mathias Dillen,rdf property,xpath,/DataSets/DataSet/Metadata/Owners/Owner/Organisation/OrganisationGUID,2024-06-24,,,|unknown:undigitized|unknown|Unknown,http://www.tdwg.org/schemas/abcd/2.06,,,,Organization
mids:Name,mids1,skos:narrowMatch,abcd:TaxonIdentified-FullScientificNameString,abcd:Unit,semapv:HumanCuration,orcid:0000-0002-0829-5849,David Fichtmueller,orcid:0000-0002-3973-1257,Mathias Dillen,rdf property,xpath,/DataSets/DataSet/Units/Unit/Identifications/Identification/Result/TaxonIdentified/ScientificName/FullScientificNameString,2024-06-24,,,|unknown:undigitized|unknown|Unknown,http://www.tdwg.org/schemas/abcd/2.06,,,,Name
mids:Name,mids1,skos:narrowMatch,abcd:TaxonIdentified-InformalNameString,abcd:Unit,semapv:HumanCuration,orcid:0000-0002-0829-5849,David Fichtmueller,orcid:0000-0002-3973-1258,Mathias Dillen,rdf property,xpath,/DataSets/DataSet/Units/Unit/Identifications/Identification/Result/TaxonIdentified/InformalNameString,2024-06-24,,,|unknown:undigitized|unknown|Unknown,http://www.tdwg.org/schemas/abcd/2.06,,,,Name
mids:Name,mids1,skos:narrowMatch,abcd:TaxonIdentified-NamedIndividual,abcd:Unit,semapv:HumanCuration,orcid:0000-0002-0829-5849,David Fichtmueller,orcid:0000-0002-3973-1259,Mathias Dillen,rdf property,xpath,/DataSets/DataSet/Units/Unit/Identifications/Identification/Result/TaxonIdentified/ScientificName/NameAtomised/Zoological/NamedIndividual,2024-06-24,,,|unknown:undigitized|unknown|Unknown,http://www.tdwg.org/schemas/abcd/2.06,,,,Name
mids:SpecimenType,mids1,skos:exactMatch,abcd:RecordBasis,abcd:Unit,semapv:HumanCuration,orcid:0000-0002-0829-5849,David Fichtmueller,orcid:0000-0002-3973-1260,Mathias Dillen,rdf property,xpath,/DataSets/DataSet/Units/Unit/RecordBasis,2024-06-24,,,|unknown:undigitized|unknown|Unknown,http://www.tdwg.org/schemas/abcd/2.06,,,,SpecimenType
mids:ObjectType,mids1,skos:exactMatch,abcd:KindOfUnit,abcd:Unit,semapv:HumanCuration,orcid:0000-0002-0829-5849,David Fichtmueller,orcid:0000-0002-3973-1261,Mathias Dillen,rdf property,xpath,/DataSets/DataSet/Units/Unit/KindOfUnit,2024-06-24,,,|unknown:undigitized|unknown|Unknown,http://www.tdwg.org/schemas/abcd/2.06,,,,ObjectType
mids:License,mids1,skos:narrowMatch,abcd:Unit-License-Text,abcd:Unit,semapv:HumanCuration,orcid:0000-0002-0829-5849,David Fichtmueller,orcid:0000-0002-3973-1262,Mathias Dillen,rdf property,xpath,/DataSets/DataSet/Units/Unit/IPRStatements/Licenses/License/Text,2024-06-26,,,|unknown:undigitized|unknown|Unknown,http://www.tdwg.org/schemas/abcd/2.06,,,,License
mids:License,mids1,skos:narrowMatch,abcd:Unit-License-URI,abcd:Unit,semapv:HumanCuration,orcid:0000-0002-0829-5849,David Fichtmueller,orcid:0000-0002-3973-1263,Mathias Dillen,rdf property,xpath,/DataSets/DataSet/Units/Unit/IPRStatements/Licenses/License/URI,2024-06-26,,,|unknown:undigitized|unknown|Unknown,http://www.tdwg.org/schemas/abcd/2.06,,,,License
mids:License,mids1,skos:narrowMatch,abcd:DataSet-License-Text,abcd:DataSet,semapv:HumanCuration,orcid:0000-0002-0829-5849,David Fichtmueller,orcid:0000-0002-3973-1264,Mathias Dillen,rdf property,xpath,/DataSets/DataSet/Metadata/IPRStatements/Licenses/License/Text,2024-06-26,,,|unknown:undigitized|unknown|Unknown,http://www.tdwg.org/schemas/abcd/2.06,,,,License
mids:License,mids1,skos:narrowMatch,abcd:DataSet-License-URI,abcd:DataSet,semapv:HumanCuration,orcid:0000-0002-0829-5849,David Fichtmueller,orcid:0000-0002-3973-1265,Mathias Dillen,rdf property,xpath,/DataSets/DataSet/Metadata/IPRStatements/Licenses/License/URI,2024-06-26,,,|unknown:undigitized|unknown|Unknown,http://www.tdwg.org/schemas/abcd/2.06,,,,License
mids:Modified,mids1,skos:narrowMatch,abcd:DataSet-DateModified,abcd:DataSet,semapv:HumanCuration,orcid:0000-0002-0829-5849,David Fichtmueller,orcid:0000-0002-3973-1266,Mathias Dillen,rdf property,xpath,/DataSets/DataSet/Metadata/RevisionData/DateModified,2024-06-24,,,|unknown:undigitized|unknown|Unknown,http://www.tdwg.org/schemas/abcd/2.06,,,,Modified
