class_name,term_ns_name,term_local_name
mids0,mids:Organization,Organization
mids0,mids:PhysicalSpecimenID,PhysicalSpecimenID
mids1,mids:License,License
mids1,mids:Modified,Modified
mids1,mids:Name,Name
mids1,mids:ObjectType,ObjectType
mids1,mids:ScientificNameID,ScientificNameID
mids1,mids:SpecimenType,SpecimenType
mids2,mids:CollectingAgent,CollectingAgent
mids2,mids:CollectionDate,CollectionDate
mids2,mids:CollectorNumber,CollectorNumber
mids2,mids:QualitativeLocation,QualitativeLocation
mids2,mids:QuantitativeLocation,QuantitativeLocation
mids2,mids:TypeStatus,TypeStatus
mids2,mids:media,media
mids3,mids:AssociatedMediaID,AssociatedMediaID
mids3,mids:CollectorID,CollectorID
mids3,mids:GeographicalLocalityID,GeographicalLocalityID
mids3,mids:IdentifiedByID,IdentifiedByID
mids3,mids:InstitutionID,InstitutionID
mids3,mids:ScientificNameID,ScientificNameID
