subject_id,informationElement_localName,subject_category,mapping_set_group,predicate_id,predicate_label,object_id,object_label,object_category,mapping_justification,author_id,author_label,reviewer_id,reviewer_label,creator_id,creator_label,subject_type,object_type,mapping_date,object_match_field,comment
mids:PhysicalSpecimenID,PhysicalSpecimenID,mids0,all,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,http://rs.tdwg.org/dwc/terms/materialSampleID,Material Sample ID,http://rs.tdwg.org/dwc/terms/Occurrence,semapv:HumanCuration,Mathias Dillen | Sam Leeflang,Mathias Dillen | Sam Leeflang,,,https://orcid.org/0000-0002-3973-1252,Mathias Dillen,rdf property,rdf property,2023-09,,
mids:PhysicalSpecimenID,PhysicalSpecimenID,mids0,all,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,http://rs.tdwg.org/dwc/terms/catalogNumber,Catalog Number,http://rs.tdwg.org/dwc/terms/Occurrence,semapv:HumanCuration,Mathias Dillen,Mathias Dillen,,,https://orcid.org/0000-0002-3973-1253,Mathias Dillen,rdf property,rdf property,2023-09,,
mids:PhysicalSpecimenID,PhysicalSpecimenID,mids0,all,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,http://rs.tdwg.org/dwc/terms/otherCatalogNumbers,Other Catalog Numbers,http://rs.tdwg.org/dwc/terms/Occurrence,semapv:HumanCuration,Mathias Dillen,Mathias Dillen,,,https://orcid.org/0000-0002-3973-1254,Mathias Dillen,rdf property,rdf property,2023-09,,
mids:PhysicalSpecimenID,PhysicalSpecimenID,mids0,all,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,http://rs.tdwg.org/dwc/terms/occurrenceID,Occurrence ID,http://rs.tdwg.org/dwc/terms/Occurrence,semapv:HumanCuration,Sam Leeflang,Sam Leeflang,,,https://orcid.org/0000-0002-3973-1254,Mathias Dillen,rdf property,rdf property,2023-09,,
mids:PhysicalSpecimenID,PhysicalSpecimenID,mids0,all,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,http://rs.tdwg.org/dwc/terms/materialEntityID,Material Entity ID,http://rs.tdwg.org/dwc/terms/Occurrence,semapv:HumanCuration,Wouter Addink,Wouter Addink,,,https://orcid.org/0000-0002-3973-1254,Mathias Dillen,rdf property,rdf property,2023-09,,
mids:Organization,Organization,mids0,all,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,http://rs.tdwg.org/dwc/terms/ownerInstitutionCode,Owner Institution Code,http://rs.tdwg.org/dwc/terms/Occurrence,semapv:HumanCuration,Mathias Dillen,Mathias Dillen,,,https://orcid.org/0000-0002-3973-1255,Mathias Dillen,rdf property,rdf property,2023-09,,
mids:Organization,Organization,mids0,all,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,http://rs.tdwg.org/dwc/terms/institutionID,Institution ID,http://rs.tdwg.org/dwc/terms/Occurrence,semapv:HumanCuration,Mathias Dillen | Sam Leeflang,Mathias Dillen | Sam Leeflang,,,https://orcid.org/0000-0002-3973-1256,Mathias Dillen,rdf property,rdf property,2023-09,,
mids:Organization,Organization,mids0,all,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,http://rs.tdwg.org/dwc/terms/institutionCode,Institution Code,http://rs.tdwg.org/dwc/terms/Occurrence,semapv:HumanCuration,Mathias Dillen | Sam Leeflang,Mathias Dillen | Sam Leeflang,,,https://orcid.org/0000-0002-3973-1257,Mathias Dillen,rdf property,rdf property,2023-09,,
mids:Name,Name,mids1,all,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,http://rs.tdwg.org/dwc/terms/scientificName,Scientific Name,http://rs.tdwg.org/dwc/terms/Occurrence,semapv:HumanCuration,Mathias Dillen,Mathias Dillen,,,https://orcid.org/0000-0002-3973-1258,Mathias Dillen,rdf property,rdf property,2023-09,,
mids:Name,Name,mids1,all,http://www.w3.org/2004/02/skos/core#narrowMatch,narrowMatch,http://rs.tdwg.org/dwc/terms/vernacularName,Vernacular Name,http://rs.tdwg.org/dwc/terms/Occurrence,semapv:HumanCuration,Mathias Dillen,Mathias Dillen,,,https://orcid.org/0000-0002-3973-1259,Mathias Dillen,rdf property,rdf property,2023-09,,
