sssom:subject_id,sssom:subject_category,sssom:predicate_id,sssom:object_id,sssom:object_category,sssom:object_label,sssom:mapping_justification,sssom:author_id,sssom:author_label,sssom:reviewer_id,sssom:reviewer_label,sssom:creator_id,sssom:creator_label,sssom:subject_type,sssom:object_type,sssom:mapping_date,sssom:object_match_field,sssom:comment,semapv:RegexRemoval
mids:PhysicalSpecimenID,mids0,http://www.w3.org/2004/02/skos/core#narrowMatch,http://rs.tdwg.org/dwc/terms/materialSampleID,dwc:Occurrence,Material Sample ID,semapv:HumanCuration,orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769,Mathias Dillen | Sam Leeflang,,,orcid:0000-0002-3973-1252,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown
mids:PhysicalSpecimenID,mids0,http://www.w3.org/2004/02/skos/core#narrowMatch,http://rs.tdwg.org/dwc/terms/catalogNumber,dwc:Occurrence,Catalog Number,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,,,orcid:0000-0002-3973-1253,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown
mids:PhysicalSpecimenID,mids0,http://www.w3.org/2004/02/skos/core#narrowMatch,http://rs.tdwg.org/dwc/terms/otherCatalogNumbers,dwc:Occurrence,Other Catalog Numbers,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,,,orcid:0000-0002-3973-1254,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown
mids:PhysicalSpecimenID,mids0,http://www.w3.org/2004/02/skos/core#narrowMatch,http://rs.tdwg.org/dwc/terms/occurrenceID,dwc:Occurrence,Occurrence ID,semapv:HumanCuration,orcid:0000-0002-5669-2769,Sam Leeflang,,,orcid:0000-0002-3973-1254,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown
mids:PhysicalSpecimenID,mids0,http://www.w3.org/2004/02/skos/core#narrowMatch,http://rs.tdwg.org/dwc/terms/materialEntityID,dwc:Occurrence,Material Entity ID,semapv:HumanCuration,orcid:0000-0002-3090-1761,Wouter Addink,,,orcid:0000-0002-3973-1254,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown
mids:Organization,mids0,http://www.w3.org/2004/02/skos/core#narrowMatch,http://rs.tdwg.org/dwc/terms/ownerInstitutionCode,dwc:Occurrence,Owner Institution Code,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,,,orcid:0000-0002-3973-1255,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown
mids:Organization,mids0,http://www.w3.org/2004/02/skos/core#narrowMatch,http://rs.tdwg.org/dwc/terms/institutionID,dwc:Occurrence,Institution ID,semapv:HumanCuration,orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769,Mathias Dillen | Sam Leeflang,,,orcid:0000-0002-3973-1256,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown
mids:Organization,mids0,http://www.w3.org/2004/02/skos/core#narrowMatch,http://rs.tdwg.org/dwc/terms/institutionCode,dwc:Occurrence,Institution Code,semapv:HumanCuration,orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769,Mathias Dillen | Sam Leeflang,,,orcid:0000-0002-3973-1257,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown
mids:Name,mids1,http://www.w3.org/2004/02/skos/core#narrowMatch,http://rs.tdwg.org/dwc/terms/scientificName,dwc:Occurrence,Scientific Name,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,,,orcid:0000-0002-3973-1258,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown
mids:Name,mids1,http://www.w3.org/2004/02/skos/core#narrowMatch,http://rs.tdwg.org/dwc/terms/vernacularName,dwc:Occurrence,Vernacular Name,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,,,orcid:0000-0002-3973-1259,Mathias Dillen,rdf property,rdf property,2023-09,,,|unknown:undigitized|unknown|Unknown
