namespace,class_name,term_local_name,datatype,compound_name
schema:,Address,addressCountry,string,Address.Address
schema:,Address,addressLocality,string,Address.addressType
schema:,Address,addressRegion,string,Address.hasIdentifier
ltc:,Address,addressType,string,ChronometricAge.ChronometricAge
ltc:,Address,hasIdentifier,array<ltc:Identifier>,ChronometricAge.hasIdentifier
schema:,Address,postalCode,string,ChronometricAge.hasMeasurementOrFact
schema:,Address,postOfficeBoxNumber,string,ChronometricAge.hasReference
schema:,Address,streetAddress,string,CollectionStatusHistory.CollectionStatusHistory
dwc:,ChronometricAge,chronometricAgeProtocol,string,CollectionStatusHistory.hasIdentifier
dwc:,ChronometricAge,chronometricAgeRemarks,string,CollectionStatusHistory.hasMeasurementOrFact
dwc:,ChronometricAge,chronometricAgeUncertaintyInYears,number,CollectionStatusHistory.hasReference
dwc:,ChronometricAge,earliestChronometricAge,number,CollectionStatusHistory.hasTemporalCoverage
dwc:,ChronometricAge,earliestChronometricAgeReferenceSystem,string,CollectionStatusHistory.status
ltc:,ChronometricAge,hasIdentifier,array<ltc:Identifier>,CollectionStatusHistory.statusChangeReason
ltc:,ChronometricAge,hasMeasurementOrFact,array<ltc:MeasurementOrFact>,CollectionStatusHistory.statusType
ltc:,ChronometricAge,hasReference,array<ltc:Reference>,ContactDetail.ContactDetail
dwc:,ChronometricAge,latestChronometricAge,number,ContactDetail.contactDetailCategory
dwc:,ChronometricAge,latestChronometricAgeReferenceSystem,string,ContactDetail.contactDetailFunction
dwc:,ChronometricAge,verbatimChronometricAge,string,ContactDetail.contactDetailValue
ltc:,CollectionStatusHistory,hasIdentifier,array<ltc:Identifier>,ContactDetail.hasIdentifier
ltc:,CollectionStatusHistory,hasMeasurementOrFact,array<ltc:MeasurementOrFact>,EcologicalContext.EcologicalContext
ltc:,CollectionStatusHistory,hasReference,array<ltc:Reference>,EcologicalContext.biogeographicRealm
ltc:,CollectionStatusHistory,hasTemporalCoverage,array<ltc:TemporalCoverage>,EcologicalContext.biome
ltc:,CollectionStatusHistory,status,string,EcologicalContext.biomeType
ltc:,CollectionStatusHistory,statusChangeReason,string,EcologicalContext.bioregion
ltc:,CollectionStatusHistory,statusType,string,EcologicalContext.ecoregion
ltc:,ContactDetail,contactDetailCategory,string,EcologicalContext.ecosystem
ltc:,ContactDetail,contactDetailFunction,list,EcologicalContext.habitat
ltc:,ContactDetail,contactDetailValue,string,EcologicalContext.hasIdentifier
ltc:,ContactDetail,hasIdentifier,array<ltc:Identifier>,EcologicalContext.hasMeasurementOrFact
ltc:,EcologicalContext,biogeographicRealm,string,EcologicalContext.hasReference
ltc:,EcologicalContext,biome,string,Event.Event
ltc:,EcologicalContext,biomeType,string,Event.eventName
