term_uri,skos_mappingRelation,related_termName,term_local_name,term_ns_name
http://rs.tdwg.org/ltc/terms/Address,narrowMatch,https://schema.org/PostalAddress,Address,ltc:Address
http://rs.tdwg.org/ltc/terms/addressType,broadMatch,https://schema.org/contactType,addressType,ltc:addressType
http://rs.tdwg.org/ltc/terms/hasIdentifier,broadMatch,http://purl.org/dc/terms/relation,hasIdentifier,ltc:hasIdentifier
http://rs.tdwg.org/ltc/terms/ChronometricAge,closeMatch,http://rs.tdwg.org/chrono/terms/ChronometricAge,ChronometricAge,ltc:ChronometricAge
http://rs.tdwg.org/ltc/terms/chronometricAgeProtocol,broadMatch,http://purl.org/dc/terms/relation,chronometricAgeProtocol,ltc:chronometricAgeProtocol
http://rs.tdwg.org/ltc/terms/chronometricAgeRemarks,broadMatch,http://purl.org/dc/terms/relation,chronometricAgeRemarks,ltc:chronometricAgeRemarks
http://rs.tdwg.org/ltc/terms/chronometricAgeUncertaintyInYears,broadMatch,http://purl.org/dc/terms/relation,chronometricAgeUncertaintyInYears,ltc:chronometricAgeUncertaintyInYears
http://rs.tdwg.org/ltc/terms/hasIdentifier,broadMatch,http://purl.org/dc/terms/relation,hasIdentifier,ltc:hasIdentifier
http://rs.tdwg.org/ltc/terms/hasMeasurementOrFact,broadMatch,http://purl.org/dc/terms/relation,hasMeasurementOrFact,ltc:hasMeasurementOrFact
http://rs.tdwg.org/ltc/terms/hasReference,broadMatch,http://purl.org/dc/terms/relation,hasReference,ltc:hasReference
http://rs.tdwg.org/ltc/terms/hasTemporalCoverage,broadMatch,http://purl.org/dc/terms/relation,hasTemporalCoverage,ltc:hasTemporalCoverage
http://rs.tdwg.org/ltc/terms/statusType,broadMatch,http://purl.org/dc/terms/type,statusType,ltc:statusType
http://rs.tdwg.org/ltc/terms/contactDetailCategory,broadMatch,http://purl.org/dc/terms/type,contactDetailCategory,ltc:contactDetailCategory
http://rs.tdwg.org/ltc/terms/contactDetailValue,narrowMatch,https://schema.org/email,contactDetailValue,ltc:contactDetailValue
http://rs.tdwg.org/ltc/terms/contactDetailValue,narrowMatch,https://schema.org/faxNumber,contactDetailValue,ltc:contactDetailValue
http://rs.tdwg.org/ltc/terms/contactDetailValue,narrowMatch,https://schema.org/telephone,contactDetailValue,ltc:contactDetailValue
http://rs.tdwg.org/ltc/terms/hasIdentifier,broadMatch,http://purl.org/dc/terms/relation,hasIdentifier,ltc:hasIdentifier
http://rs.tdwg.org/ltc/terms/habitat,closeMatch,http://rs.tdwg.org/dwc/terms/habitat,habitat,ltc:habitat
http://rs.tdwg.org/ltc/terms/hasIdentifier,broadMatch,http://purl.org/dc/terms/relation,hasIdentifier,ltc:hasIdentifier
http://rs.tdwg.org/ltc/terms/hasMeasurementOrFact,broadMatch,http://purl.org/dc/terms/relation,hasMeasurementOrFact,ltc:hasMeasurementOrFact
